Entrez_Id_1	Entrez_Id_2	Symbol_1	Symbol_2	Binary	BinarySingle	CoComplex	Prediction
1058	221613	CENPA	HIST1H2AA	0	0	0	1
1022	4331	CDK7	MNAT1	0	0	1	0
175	3043	AGA	HBB	0	0	1	0
6182	10531	MRPL12	PITRM1	0	0	1	0
5700	5713	PSMC1	PSMD7	0	0	1	0
27159	54820	CHIA	NDE1	0	0	1	0
2098	4190	ESD	MDH1	0	0	1	0
27229	5987	TUBGCP4	TRIM27	1	0	0	0
132158	287015	GLYCTK	TRIM42	1	0	0	0
5880	115761	RAC2	ARL11	0	0	0	1
6011	6789	GRK1	STK4	0	0	0	1
4223	83538	MEOX2	TTC25	1	0	0	0
1738	128710	DLD	SLX4IP	0	0	1	0
3215	10137	HOXB5	RBM12	0	0	1	0
6416	50488	MAP2K4	MINK1	0	0	0	1
950	8148	SCARB2	TAF15	0	0	1	0
10253	386678	SPRY2	KRTAP10-11	1	0	0	0
3975	4223	LHX1	MEOX2	0	0	0	1
6206	6229	RPS12	RPS24	0	0	1	0
5058	8408	PAK1	ULK1	0	0	0	1
2045	4145	EPHA7	MATK	0	0	0	1
1058	8345	CENPA	HIST1H2BH	0	0	0	1
59349	374403	KLHL12	TBC1D10C	1	0	0	0
7167	57062	TPI1	DDX24	1	0	0	0
4223	27254	MEOX2	CSDC2	1	0	0	0
10884	84311	MRPS30	MRPL45	0	0	1	0
4111	79745	MAGEA12	CLIP4	1	0	0	0
4686	92906	NCBP1	HNRNPLL	0	0	0	1
10900	8907	RUNDC3A	AP1M1	1	0	0	0
6352	6369	CCL5	CCL24	0	0	0	1
6714	8856	SRC	NR1I2	1	0	0	0
3199	5459	HOXA2	POU4F3	0	0	0	1
6632	6638	SNRPD1	SNRPN	0	1	0	1
10653	90353	SPINT2	CTU1	0	0	1	0
11155	58529	LDB3	MYOZ1	1	0	0	0
2637	145258	GBX2	GSC	0	0	0	1
7127	51028	TNFAIP2	VPS36	0	0	1	0
11031	50618	RAB31	ITSN2	0	0	0	1
5702	7428	PSMC3	VHL	1	0	0	0
1107	56992	CHD3	KIF15	1	0	0	0
5152	8270	PDE9A	LAGE3	1	0	0	0
55663	388677	ZNF446	NOTCH2NL	1	0	0	0
208	5585	AKT2	PKN1	0	0	0	1
3215	57707	HOXB5	TLDC1	0	0	1	0
5987	51588	TRIM27	PIAS4	1	0	0	0
10905	11253	MAN1A2	MAN1B1	0	0	0	1
3667	26060	IRS1	APPL1	0	0	0	1
6599	57492	SMARCC1	ARID1B	0	0	1	0
5467	9971	PPARD	NR1H4	0	0	0	1
6155	6202	RPL27	RPS8	0	0	1	0
5787	5800	PTPRB	PTPRO	0	0	0	1
4174	7307	MCM5	U2AF1	0	0	1	0
2252	2263	FGF7	FGFR2	1	0	0	1
64753	79165	CCDC136	LENG1	1	0	0	0
7579	23650	ZSCAN20	TRIM29	0	0	1	0
4756	50937	NEO1	CDON	0	0	0	1
23673	8773	STX12	SNAP23	0	0	1	0
6193	6205	RPS5	RPS11	0	0	1	0
4218	5867	RAB8A	RAB4A	0	0	0	1
100131997	83755	FAM27E3	KRTAP4-12	1	0	0	0
54531	84108	MIER2	PCGF6	0	0	1	0
55697	80778	VAC14	ZNF34	1	0	0	0
5896	54926	RAG1	UBE2R2	0	0	0	1
3881	158787	KRT31	RIBC1	1	0	0	0
55623	55226	THUMPD1	NAT10	0	0	1	0
55692	65990	LUC7L	FAM173A	1	0	0	0
5439	9533	POLR2J	POLR1C	1	1	0	0
705	23281	BYSL	MTUS2	1	0	0	0
4839	6749	NOP2	SSRP1	0	0	1	0
4733	8576	DRG1	STK16	1	0	0	0
2885	2887	GRB2	GRB10	0	1	0	1
3069	51028	HDLBP	VPS36	0	0	1	0
7410	55971	VAV2	BAIAP2L1	0	0	0	1
8337	8341	HIST2H2AA3	HIST1H2BN	0	0	0	1
81926	51160	ABHD17A	VPS28	0	0	1	0
2176	3312	FANCC	HSPA8	1	0	0	0
2224	9453	FDPS	GGPS1	0	0	0	1
6925	81629	TCF4	TSSK3	1	0	0	0
5865	57221	RAB3B	ARFGEF3	0	0	0	1
3093	11124	UBE2K	FAF1	0	0	0	1
1006	56143	CDH8	PCDHA5	0	0	0	1
8576	60491	STK16	NIF3L1	1	0	0	0
10363	220136	HMG20A	CFAP53	1	0	0	0
3549	7148	IHH	TNXB	0	0	0	1
1653	3036	DDX1	HAS1	0	0	1	0
1173	9900	AP2M1	SV2A	0	0	1	0
7043	353500	TGFB3	BMP8A	0	0	0	1
10320	29760	IKZF1	BLNK	0	0	0	1
11117	158787	EMILIN1	RIBC1	1	0	0	0
118881	10466	COMTD1	COG5	0	0	1	0
7040	9518	TGFB1	GDF15	0	0	0	1
7186	7187	TRAF2	TRAF3	1	0	0	0
10197	55689	PSME3	YEATS2	0	0	1	0
4628	5087	MYH10	PBX1	1	0	0	0
4641	9093	MYO1C	DNAJA3	0	0	1	0
208	1195	AKT2	CLK1	0	0	0	1
2130	5359	EWSR1	PLSCR1	1	0	0	0
26123	145264	TCTN3	SERPINA12	0	0	1	0
1725	60491	DHPS	NIF3L1	1	0	0	0
3965	57670	LGALS9	KIAA1549	0	0	1	0
3198	85291	HOXA1	KRTAP4-2	1	0	0	0
1956	10963	EGFR	STIP1	1	0	0	0
8349	54108	HIST2H2BE	CHRAC1	0	0	0	1
11030	167153	RBPMS	PAPD4	1	0	0	0
27316	27349	RBMX	MCAT	0	0	1	0
2113	3725	ETS1	JUN	1	0	0	0
51209	85004	RAB9B	RERG	0	0	0	1
55092	84078	TMEM51	KBTBD7	0	0	1	0
7335	9736	UBE2V1	USP34	0	0	1	0
26523	192669	AGO1	AGO3	0	0	0	1
2241	3815	FER	KIT	0	0	0	1
5911	171177	RAP2A	RHOV	0	0	0	1
8997	23607	KALRN	CD2AP	0	0	0	1
10240	64969	MRPS31	MRPS5	0	0	1	0
5997	54663	RGS2	WDR74	1	1	0	0
84330	7923	ZNF414	HSD17B8	0	0	1	0
84619	246329	ZGPAT	STAC3	1	0	0	0
23262	55854	PPIP5K2	ZC3H15	0	0	1	0
51222	8932	ZNF219	MBD2	0	0	1	0
4690	6711	NCK1	SPTBN1	0	0	0	1
6130	6133	RPL7A	RPL9	0	0	1	0
23636	54535	NUP62	CCHCR1	1	0	0	0
54433	55164	GAR1	SHQ1	0	0	1	0
1850	51207	DUSP8	DUSP13	0	0	0	1
6416	9891	MAP2K4	NUAK1	0	0	0	1
51097	9659	SCCPDH	PDE4DIP	0	0	1	0
4139	6794	MARK1	STK11	0	0	0	1
961	163183	CD47	SYNE4	1	0	0	0
5898	55770	RALA	EXOC2	1	0	0	1
54516	51409	MTRF1L	HEMK1	0	0	1	0
5499	55703	PPP1CA	POLR3B	0	0	1	0
84186	205564	ZCCHC7	SENP5	0	0	1	0
8621	2783	CDK13	GNB2	0	0	1	0
4103	285855	MAGEA4	RPL7L1	0	0	1	0
2120	2885	ETV6	GRB2	1	0	0	0
6626	10815	SNRPA	CPLX1	0	0	1	0
2487	6423	FRZB	SFRP2	0	0	0	1
6091	57689	ROBO1	LRRC4C	0	0	0	1
26747	192683	NUFIP1	SCAMP5	0	0	1	0
8666	3646	EIF3G	EIF3E	0	0	1	0
11007	54927	CCDC85B	CHCHD3	1	0	0	0
11091	51562	WDR5	MBIP	1	0	1	0
652	4061	BMP4	LY6E	0	0	0	1
1760	11337	DMPK	GABARAP	1	0	0	0
10775	11102	POP4	RPP14	0	0	1	0
7186	27238	TRAF2	GPKOW	1	0	0	0
51429	80306	SNX9	MED28	1	0	0	0
4771	6895	NF2	TARBP2	1	0	0	0
9997	51119	SCO2	SBDS	0	0	1	0
26580	10066	BSCL2	SCAMP2	0	0	1	0
3215	3232	HOXB5	HOXD3	0	0	0	1
3606	9466	IL18	IL27RA	0	0	0	1
1778	10048	DYNC1H1	RANBP9	0	0	1	0
4703	4867	NEB	NPHP1	0	0	0	1
4055	9217	LTBR	VAPB	0	0	1	0
166	2801	AES	GOLGA2	1	0	0	0
4702	28976	NDUFA8	ACAD9	0	0	1	0
23647	51209	ARFIP2	RAB9B	0	0	0	1
51631	54819	LUC7L2	ZCCHC10	1	0	0	0
1936	284004	EEF1D	HEXDC	1	0	0	0
4686	10181	NCBP1	RBM5	0	0	0	1
6047	7189	RNF4	TRAF6	0	0	0	1
6840	10801	SVIL	SEPT9	0	0	1	0
28981	56912	IFT81	IFT46	0	0	1	0
1432	1852	MAPK14	DUSP9	1	0	1	0
1956	5795	EGFR	PTPRJ	1	0	0	0
2885	6464	GRB2	SHC1	1	0	0	1
3964	3673	LGALS8	ITGA2	0	0	1	0
54870	64395	QRICH1	GMCL1	1	0	0	0
167838	220082	TXLNB	SPERT	1	0	0	0
8648	79447	NCOA1	PAGR1	1	0	0	0
6157	6191	RPL27A	RPS4X	0	0	1	0
55584	3799	CHRNA9	KIF5B	0	0	1	0
5068	30835	REG3A	CD209	0	0	0	1
81034	11212	SLC25A32	PROSC	0	0	1	0
3182	8626	HNRNPAB	TP63	1	0	0	0
1857	10482	DVL3	NXF1	1	0	0	0
5881	23101	RAC3	MCF2L2	0	0	0	1
283635	9785	FAM177A1	DHX38	0	0	1	0
6218	9349	RPS17	RPL23	0	0	1	0
54811	3827	ZNF562	KNG1	0	0	1	0
10458	55971	BAIAP2	BAIAP2L1	0	0	1	1
9869	55274	SETDB1	PHF10	1	0	0	0
29883	51435	CNOT7	SCARA3	1	0	0	0
6155	140801	RPL27	RPL10L	0	0	1	0
6125	9685	RPL5	CLINT1	0	0	1	0
84197	2531	POMK	KDSR	0	0	1	0
255626	10363	HIST1H2BA	HMG20A	0	0	1	0
4701	10611	NDUFA7	PDLIM5	0	0	1	0
2023	7534	ENO1	YWHAZ	1	0	0	0
23097	55090	CDK19	MED9	0	0	1	0
9984	55596	THOC1	ZCCHC8	0	0	1	0
7185	91392	TRAF1	ZNF502	1	0	0	0
55211	3034	DPPA4	HAL	0	0	1	0
25930	128866	PTPN23	CHMP4B	1	0	0	0
55630	201931	SLC39A4	TMEM192	0	0	1	0
23607	115677	CD2AP	NOSTRIN	0	0	0	1
7205	253827	TRIP6	MSRB3	1	0	0	0
10813	29911	UTP14A	HOOK2	1	0	0	0
7185	285093	TRAF1	RTP5	1	0	0	0
4792	55075	NFKBIA	UACA	0	0	0	1
140691	284086	TRIM69	NEK8	1	0	0	0
5445	2683	PON2	B4GALT1	0	0	1	0
3207	340260	HOXA11	UNCX	0	0	0	1
5868	27342	RAB5A	RABGEF1	0	0	0	1
8874	84033	ARHGEF7	OBSCN	0	0	0	1
5111	5984	PCNA	RFC4	0	0	1	0
2241	5159	FER	PDGFRB	0	0	0	1
9609	282808	RAB36	RAB40AL	0	0	0	1
9659	51545	PDE4DIP	ZNF581	1	0	0	0
10618	64755	TGOLN2	C16orf58	0	0	1	0
5217	5802	PFN2	PTPRS	1	0	0	0
4241	7018	MFI2	TF	0	0	0	1
23263	25894	MCF2L	PLEKHG4	0	0	0	1
23550	79930	PSD4	DOK3	0	0	0	1
329	6737	BIRC2	TRIM21	0	0	0	1
26284	91137	ERAL1	SLC25A46	0	0	1	0
10155	51438	TRIM28	MAGEC2	1	0	0	0
1616	3315	DAXX	HSPB1	1	0	0	0
8369	126961	HIST1H4G	HIST2H3C	0	0	0	1
7332	10273	UBE2L3	STUB1	0	0	0	1
208	9113	AKT2	LATS1	0	0	0	1
